Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67070076,,0,,0,0,10/12/2015 14:45,10/12/2015 14:45,10/12/2015,10/12/2015,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602686445
Closed position,67993721,GBPUSD,20,Buy,1.52572,1.52577,10/29/2015 7:42,10/29/2015 8:10,10/29/2015,10/29/2015,100,0,0,100,0,0,0.5,Win,0.47,0,,jk_5602686445
Closed position,67993704,AUDCAD,20,Buy,0.93871,0.93894,10/29/2015 7:41,10/29/2015 8:13,10/29/2015,10/29/2015,348.23,0,0,348.23,0,0,2.3,Win,0.53,0,,jk_5602686445
Closed position,67991523,EURUSD,20,Buy,1.09325,1.09329,10/29/2015 6:08,10/29/2015 8:41,10/29/2015,10/29/2015,80,0,0,80,0,0,0.4,Win,2.56,0,,jk_5602686445
Closed position,67995720,GBPUSD,20,Sell,1.52588,1.52573,10/29/2015 8:56,10/29/2015 8:59,10/29/2015,10/29/2015,300,0,0,300,0,0,1.5,Win,0.05,0,,jk_5602686445
Closed position,67995902,GBPUSD,20,Sell,1.52556,1.52547,10/29/2015 9:00,10/29/2015 9:06,10/29/2015,10/29/2015,180,0,0,180,0,0,0.9,Win,0.11,0,,jk_5602686445
Closed position,67992745,USDCAD,20,Buy,1.32133,1.32219,10/29/2015 6:58,10/29/2015 11:05,10/29/2015,10/29/2015,1300.87,0,0,1300.87,0,0,8.6,Win,4.12,0,,jk_5602686445
Closed position,67991881,USDSGD,20,Buy,1.40325,1.40373,10/29/2015 6:23,10/29/2015 11:05,10/29/2015,10/29/2015,683.89,0,0,683.89,0,0,4.8,Win,4.7,0,,jk_5602686445
Closed position,67991503,USDCHF,20,Sell,0.99345,0.99326,10/29/2015 6:06,10/29/2015 11:10,10/29/2015,10/29/2015,382.58,0,0,382.58,0,0,1.9,Win,5.05,0,,jk_5602686445
Closed position,67991856,AUDUSD,20,Sell,0.71001,0.70969,10/29/2015 6:20,10/29/2015 11:24,10/29/2015,10/29/2015,640,0,0,640,0,0,3.2,Win,5.06,0,,jk_5602686445
Closed position,67996507,USDCNH,20,Sell,6.36715,6.36555,10/29/2015 9:21,10/29/2015 11:29,10/29/2015,10/29/2015,502.71,0,0,502.71,0,0,0.2,Win,2.12,0,,jk_5602686445
Closed position,68130268,AUDUSD,20,Sell,0.71442,0.71434,11/2/2015 5:25,11/2/2015 5:28,11/2/2015,11/2/2015,160,0,0,160,0,0,0.8,Win,0.06,0,,jk_5602686445
Closed position,68130285,GBPUSD,20,Sell,1.54294,1.5433,11/2/2015 5:26,11/2/2015 6:01,11/2/2015,11/2/2015,-720,0,0,-720,0,0,-3.6,Loss,0.58,0,,jk_5602686445
Closed position,68131054,NZDUSD,20,Sell,0.67773,0.67743,11/2/2015 6:13,11/2/2015 6:31,11/2/2015,11/2/2015,600,0,0,600,0,0,3,Win,0.3,0,,jk_5602686445
Closed position,68131011,USDJPY,20,Buy,120.329,120.346,11/2/2015 6:09,11/2/2015 6:41,11/2/2015,11/2/2015,282.52,0,0,282.52,0,0,1.7,Win,0.53,0,,jk_5602686445
Closed position,68138989,EURGBP,40,Buy,0.71511,0.7142,11/2/2015 10:42,11/2/2015 10:57,11/2/2015,11/2/2015,-5616.74,0,0,-5616.74,0,0,-9.1,Loss,0.24,0,,jk_5602686445
Closed position,68135663,GBPUSD,20,Sell,1.54236,1.54388,11/2/2015 9:24,11/2/2015 11:02,11/2/2015,11/2/2015,-3040,0,0,-3040,0,0,-15.2,Loss,1.64,0,,jk_5602686445
Closed position,68136379,USDCNH,20,Buy,6.34915,6.34895,11/2/2015 9:45,11/2/2015 11:02,11/2/2015,11/2/2015,-63,0,0,-63,0,0,0,Loss,1.28,0,,jk_5602686445
Closed position,68151997,AUDCAD,0.01,Sell,0.93638,0.9366,11/2/2015 15:45,11/2/2015 15:46,11/2/2015,11/2/2015,-0.17,0,0,-0.17,0,0,-2.2,Loss,0.02,0,,jk_5602686445
Closed position,68167433,USDCHF,20,Sell,0.98578,0.98562,11/2/2015 20:22,11/2/2015 20:29,11/2/2015,11/2/2015,324.67,0,0,324.67,0,0,1.6,Win,0.1,0,,jk_5602686445
Closed position,68167459,GBPUSD,20,Sell,1.54218,1.54136,11/2/2015 20:23,11/2/2015 21:31,11/2/2015,11/2/2015,1640,0,0,1640,0,0,8.2,Win,1.13,0,,jk_5602686445
Closed position,68167483,AUDCAD,20,Buy,0.93584,0.93617,11/2/2015 20:24,11/2/2015 23:31,11/2/2015,11/2/2015,503.89,0,0,503.89,0,0,3.3,Win,3.12,0,,jk_5602686445
Closed position,68171690,USDJPY,20,Buy,120.782,120.79,11/2/2015 22:52,11/3/2015 2:09,11/2/2015,11/3/2015,132.46,-16.56,0,115.9,0,0,0.8,Win,3.29,0,,jk_5602686445
Closed position,68180468,AUDNZD,20,Sell,1.05886,1.06497,11/3/2015 4:51,11/3/2015 5:55,11/3/2015,11/3/2015,-8252.9,0,0,-8252.9,0,0,-61.1,Loss,1.05,0,,jk_5602686445
Closed position,68180876,AUDNZD,20,Sell,1.0594,1.06475,11/3/2015 5:07,11/3/2015 5:55,11/3/2015,11/3/2015,-7226.35,0,0,-7226.35,0,0,-53.5,Loss,0.79,0,,jk_5602686445
Closed position,68167425,EURUSD,20,Buy,1.10287,1.10132,11/2/2015 20:22,11/3/2015 5:55,11/2/2015,11/3/2015,-3100,-56,0,-3156,0,0,-15.5,Loss,9.55,0,,jk_5602686445
Closed position,68171700,USDCHF,20,Sell,0.98678,0.98705,11/2/2015 22:52,11/3/2015 5:57,11/2/2015,11/3/2015,-547.08,-83.13,0,-630.21,0,0,-2.7,Loss,7.09,0,,jk_5602686445
Closed position,68180461,USDCNH,20,Sell,6.34285,6.34475,11/3/2015 4:51,11/3/2015 5:57,11/3/2015,11/3/2015,-598.92,0,0,-598.92,0,0,-0.2,Loss,1.11,0,,jk_5602686445
Closed position,68182737,EURGBP,20,Buy,0.71439,0.71411,11/3/2015 6:00,11/3/2015 6:03,11/3/2015,11/3/2015,-863.68,0,0,-863.68,0,0,-2.8,Loss,0.06,0,,jk_5602686445
Closed position,68183060,EURJPY,20,Buy,132.917,132.939,11/3/2015 6:07,11/3/2015 6:25,11/3/2015,11/3/2015,364.6,0,0,364.6,0,0,2.2,Win,0.3,0,,jk_5602686445
Closed position,68191351,AUDNZD,20,Buy,1.07013,1.06915,11/3/2015 9:46,11/3/2015 14:37,11/3/2015,11/3/2015,-1315.69,0,0,-1315.69,0,0,-9.8,Loss,4.85,0,,jk_5602686445
Closed position,68261790,NZDUSD,20,Sell,0.65869,0.6586,11/4/2015 16:00,11/4/2015 16:01,11/4/2015,11/4/2015,180,0,0,180,0,0,0.9,Win,0.03,0,,jk_5602686445
Closed position,68293018,AUDNZD,20,Sell,1.0837,1.08354,11/5/2015 5:24,11/5/2015 7:28,11/5/2015,11/5/2015,211.09,0,0,211.09,1.0832,0,1.6,Win,2.08,0,,jk_5602686445
Closed position,68294121,AUDCHF,20,Sell,0.70994,0.70982,11/5/2015 6:32,11/5/2015 7:29,11/5/2015,11/5/2015,241.6,0,0,241.6,0.70934,0,1.2,Win,0.95,0,,jk_5602686445
Closed position,68294073,AUDUSD,20,Sell,0.71467,0.71454,11/5/2015 6:30,11/5/2015 7:29,11/5/2015,11/5/2015,260,0,0,260,0.71417,0,1.3,Win,1,0,,jk_5602686445
Closed position,68292868,USDCNH,20,Sell,6.36165,6.36903,11/5/2015 5:15,11/5/2015 16:34,11/5/2015,11/5/2015,-2317.46,0,0,-2317.46,6.36135,0,-0.7,Loss,11.32,0,,jk_5602686445
